calculated mean speed, polarisation, iid
0.527876, 0.154706, 5.89538
0.527876, 0.92853, 5.77055
0.527876, 0.768124, 4.11919
0.527876, 0.790078, 3.80087
0.527876, 0.903188, 3.94941
0.527876, 0.888846, 3.51326
0.527876, 0.76797, 4.70219
0.527876, 0.879804, 3.71222
0.527876, 0.72038, 3.95582
0.527876, 0.938704, 3.60181
0.423085, 0.199176, 5.87203
0.423085, 0.670273, 3.62304
0.423085, 0.665949, 3.7196
0.423085, 0.737119, 4.10197
0.423085, 0.759291, 3.75725
0.423085, 0.750288, 3.79652
0.423085, 0.866858, 3.64391
0.423085, 0.525127, 3.29435
0.423085, 0.667008, 4.28286
0.423085, 0.750653, 3.04973
0.355512, 0.0234053, 5.36705
0.355512, 0.856307, 4.71917
0.355512, 0.84096, 3.60151
0.355512, 0.730784, 3.86924
0.355512, 0.681517, 3.61208
0.355512, 0.585309, 3.33927
0.355512, 0.766829, 3.72753
0.355512, 0.84638, 3.24522
0.355512, 0.830682, 3.47884
0.355512, 0.615592, 3.29158
0.444895, 0.171323, 5.32689
0.444895, 0.221928, 3.63296
0.444895, 0.847719, 3.64518
0.444895, 0.705865, 3.44569
0.444895, 0.84403, 3.24163
0.444895, 0.724923, 3.41639
0.444895, 0.791989, 4.10358
0.444895, 0.721804, 3.47693
0.444895, 0.813412, 3.75512
0.444895, 0.609393, 3.71114
0.422977, 0.126876, 5.36707
0.422977, 0.809558, 4.33095
0.422977, 0.761621, 3.32397
0.422977, 0.779961, 3.88471
0.422977, 0.636765, 3.55559
0.422977, 0.744115, 3.83778
0.422977, 0.301679, 3.61645
0.422977, 0.811216, 3.68129
0.422977, 0.688089, 3.3927
0.422977, 0.797205, 3.73442
0.59132, 0.19186, 6.14606
0.59132, 0.77729, 4.00711
0.59132, 0.675275, 3.66125
0.59132, 0.652318, 4.02036
0.59132, 0.896229, 4.11389
0.59132, 0.670359, 4.05324
0.59132, 0.847555, 6.7129
0.59132, 0.708811, 3.46124
0.59132, 0.728686, 3.92373
0.59132, 0.544242, 6.62218
0.555011, 0.339273, 4.88522
0.555011, 0.702291, 3.31404
0.555011, 0.545104, 4.38414
0.427114, 0.102944, 5.34676
0.427114, 0.6063, 3.20961
0.427114, 0.711031, 3.33298
0.427114, 0.760733, 3.64521
0.427114, 0.62208, 3.13888
0.427114, 0.670467, 3.88713
0.427114, 0.760252, 3.59726
0.427114, 0.880262, 3.76201
0.427114, 0.793999, 3.28492
0.427114, 0.702422, 3.45141
0.506044, 0.299563, 5.56375
0.506044, 0.720686, 4.28469
0.40584, 0.0776787, 5.25943
0.40584, 0.770115, 3.35763
0.40584, 0.782244, 3.89579
0.40584, 0.700019, 4.10666
0.40584, 0.727359, 3.81592
0.40584, 0.744692, 3.48976
0.40584, 0.813245, 3.773
0.40584, 0.529704, 3.71327
0.40584, 0.826687, 3.21418
0.40584, 0.896904, 3.29181
0.325703, 0.303073, 4.78702
0.325703, 0.857902, 3.33918
0.325703, 0.798443, 3.44307
0.325703, 0.738613, 3.71186
0.325703, 0.70213, 3.24761
0.325703, 0.812274, 3.27943
0.325703, 0.880918, 3.58617
0.325703, 0.676441, 3.11707
0.325703, 0.757829, 3.33705
0.325703, 0.693771, 3.51524
0.595084, 0.211932, 4.95433
0.595084, 0.688222, 3.66944
0.595084, 0.726333, 4.16044
0.595084, 0.671375, 4.11915
0.595084, 0.715045, 4.19153
0.595084, 0.634484, 3.67495
0.595084, 0.634609, 4.73962
0.595084, 0.605959, 3.92382
0.595084, 0.933214, 3.73266
0.595084, 0.705723, 3.5095
0.412903, 0.108597, 6.22307
0.412903, 0.664935, 3.73732
0.412903, 0.739554, 3.2006
0.412903, 0.634448, 3.57054
0.412903, 0.680087, 3.0885
0.412903, 0.78085, 3.60316
0.412903, 0.781347, 3.4609
0.412903, 0.594565, 3.33851
0.412903, 0.76693, 3.38153
0.412903, 0.856708, 3.80449
0.3904, 0.159771, 4.86233
0.3904, 0.559984, 3.5608
